Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000056,Central Bedfordshire,1,1 person in household,31171,25.81
E06000056,Central Bedfordshire,2,2 people in household,43254,35.82
E06000056,Central Bedfordshire,3,3 people in household,21077,17.45
E06000056,Central Bedfordshire,4,4 people in household,18141,15.02
E06000056,Central Bedfordshire,5,5 people in household,5197,4.3
E06000056,Central Bedfordshire,6,6 people in household,1365,1.13
E06000056,Central Bedfordshire,7,7 people in household,376,0.31
E06000056,Central Bedfordshire,8,8 or more people in household,172,0.14
E06000057,Northumberland,0,0 people in household,0,0.0
E06000057,Northumberland,1,1 person in household,48149,32.77
E06000057,Northumberland,2,2 people in household,56863,38.7
E06000057,Northumberland,3,3 people in household,21121,14.38
E06000057,Northumberland,4,4 people in household,15118,10.29
E06000057,Northumberland,5,5 people in household,4219,2.87
E06000057,Northumberland,6,6 people in household,1073,0.73
E06000057,Northumberland,7,7 people in household,268,0.18
E06000057,Northumberland,8,8 or more people in household,111,0.08
E06000058,"Bournemouth, Christchurch and Poole",0,0 people in household,0,0.0
E06000058,"Bournemouth, Christchurch and Poole",1,1 person in household,56531,32.52
E06000058,"Bournemouth, Christchurch and Poole",2,2 people in household,61650,35.46
E06000058,"Bournemouth, Christchurch and Poole",3,3 people in household,25969,14.94
E06000058,"Bournemouth, Christchurch and Poole",4,4 people in household,20627,11.87
E06000058,"Bournemouth, Christchurch and Poole",5,5 people in household,6340,3.65
E06000058,"Bournemouth, Christchurch and Poole",6,6 people in household,1877,1.08
E06000058,"Bournemouth, Christchurch and Poole",7,7 people in household,568,0.33
E06000058,"Bournemouth, Christchurch and Poole",8,8 or more people in household,279,0.16
E06000059,Dorset,0,0 people in household,0,0.0
E06000059,Dorset,1,1 person in household,51741,30.57
